restroom_name,phone_number,open_time,latitude,longitude
동산면보건지소,033-250-4615,9:00~18:00,37.7521808,127.796302
동산면 행정복지센터,033-250-3603,09:00~18:00,37.7521808,127.796302
동면주민자치센터,033-250-3602,8:30~18:00,37.9103221,127.781285
동면보건지소,033-250-4614,9:00~18:00,37.9100701,127.781237
동면 행정복지센터(1층),033-245-5313,정시(09:00∼18:00),37.9103221,127.781285
동내면행정복지센터,033-245-5395,9:00~18:00,37.8478954,127.76088
동내도서관,033-245-5126,정시(09:00∼20:00),37.8360002,127.762735
대영주유소,033-254-1815,9:00~18:00,37.9285924,127.721969
대성주유소,033-251-9777,6:00~23:00,37.8736506,127.718138
대명주유소,033-252-4840,상시,37.9206267,127.739678
대룡산주유소,033-261-5185,9:00~18:00,37.8409413,127.764899
당림주유소,033-262-2621,6:00~23:00,37.8299134,127.617313
농민주유소,033-263-3900,9:00~18:00,37.8856267,127.746695
남춘천충전소,033-262-8192,상시,37.8394222,127.731677
춘천시청별관,033-240-1517,09시~18시,37.8820611,127.733451
춘천시청 화장실,033-250-3275,9:00~18:00,37.8811024,127.729702
춘천시장애인종합복지관,033-262-0035,9:00~18:00,37.846137,127.755534
춘천시선거관리위원회,033-257-1390,9:00~18:00,37.8928486,127.724156
춘천시립청소년도서관,033-245-5792,7:00~23:00,37.8700287,127.710727
춘천시립도서관,033-245-5065,09:00~22:00,37.8620597,127.755014
춘천시동물보호센터,033-245-5788,9:00~18:00,37.9419849,127.712294
춘천시 보건소,033-250-3550,정시(09:00∼18:00),37.8756093,127.720498
춘천승마장,033-240-1733,9:00~18:00,37.85693,127.69242
춘천세무서,033-250-0246,9:00~18:00,37.8761565,127.722356
춘천박사마을 어린이글램핑장,033-240-1791,상시,37.8868936,127.686459
춘천막국수체험박물관,033-244-8869,10:00~17:00,37.9487701,127.749847
춘천꿈자람어린이공원&춘천장애인스포츠센터,033-240-1756,9:00~18:009:00~20:00(주말),37.8816292,127.718726
추곡약수터,033-240-1563,상시,38.0363867,127.88796
남춘천주유소,033-242-5182,9:00~18:00,37.8633228,127.728947
남춘천역,033-257-7022,4:30~24:30,37.8639941,127.723806
남춘천I.C주유소,033-262-8786,9:00~18:00,37.7442151,127.713359
남산파출소,033-245-0781,상시,37.7914407,127.646409
남산농협주유소,033-262-8787,7:00~21:00,37.7866185,127.648445
충혼공원,033-250-3223,상시,37.8607563,127.722899
지암보건진료소,033-243-5225,9:00~18:00,37.9815515,127.608005
지내보건지료소,033-244-6902,9:00~18:00,37.9577017,127.729183
금강산주유소,033-253-7007,8:00~8:00,37.8617639,127.706784
굿오일주유소,033-252-5188,상시,37.8998667,127.734366
구름다리주유소,033-264-7601,6:00~23:00,37.8781936,127.759475
구도일주유소 춘천,033-252-0336,5:00~24:00,37.86815,127.723369
광장셀프주유소,033-241-5185,상시,37.8759207,127.73572
고향주유소,033-244-2011,9:00~18:00,37.950999,127.693323
고려LPG충전소,033-243-5035,상시,38.0453387,127.644746
경춘주유소,033-263-3900,9:00~18:00,37.8364256,127.713461
경춘제1주유소,033-262-2766,9:00~18:00,37.8370461,127.580566
거두주유소,033-257-8778,6:20~24:00,37.8558199,127.750201
강촌역 화장실(강촌역),033-261-7730,5:00~24:20,37.8059492,127.634158
강원지방경찰청,033-248-0423,9:00~18:00,37.8613028,127.757836
강원대학교병원,033-258-2000,상시,37.8749195,127.744518
강변주유소,033-263-2210,9:00~18:00,37.8351967,127.588333
종합경기장,033-264-0660,9:00~18:00,37.8553902,127.690747
조정면허시험장,033-240-1563,상시,37.904795,127.722658
대룡산주차장(간이화장실),033-245-5395,상시,37.8488143,127.777467
대룡관 게이트볼장,033-240-1563,상시,37.8518536,127.754797
당림유원지,033-240-1563,상시,37.8188409,127.632622
당림보건진료소,033-263-2020,9:00~18:00,37.8375978,127.608744
농업기술센터 연구동,033-250-3371,9:00~18:00,37.9491327,127.750908
농업기술센터 본관동,033-250-3371,9:00~18:00,37.9491327,127.750908
남산면보건지소,033-250-3886,9:00~18:00,37.791611,127.644912
남산면 행정복지센터,033-250-3607,9:00~18:00,37.7917665,127.64614
남산도서관,033-245-5560,정시(09:00∼20:00),37.7931519,127.643223
가람주유소,033-252-5161,9:00~18:00,37.9195546,127.720766
SK행복한Self주유소,033-252-5148,9:00~19:00,37.8893429,127.741719
SK직영 부안주유소,033-257-5151,9:00~18:00,37.8728793,127.752261
SK직영 OK주유소,033-253-4951,9:00~18:00,37.8797026,127.750329
M백화점,033-248-7000,11:00~21:00,37.8785506,127.728585
GS춘천충전소,033-257-1526,상시,37.8918811,127.721782
(주)태우주유소,033-252-8119,9:00~18:00,37.8864692,127.745976
(주)원일유통 춘천,033-264-0393,9:00~18:00,37.8124645,127.766036
(주)석사주유소,033-261-2706,6:00~22:00,37.8518742,127.751559
(사)남부시장 조합,033-242-1561,9:00~22:00,37.8705329,127.725586
후평시장 화장실,033-256-7595,정시(09:00~18:02),37.8826329,127.748552
후평3동 행정복지센터,033-245-5687,평일(09:00~18:00),37.8765182,127.753809
후평2동 행정복지센터,033-250-3617,평일(09:00~18:00),37.8775305,127.750478
후평1동 행정복지센터,033-250-3616,평일(09:00~18:00),37.8860312,127.745426
효자3동 행정복지센터,033-250-3621,정시(09:00∼18:00),37.876426,127.741351
남부 농기계임대사업소 사무실,033-250-3371,9:00~18:00,37.8127956,127.698152
남면 행정복지센터,033-245-5427,정시(09:00∼18:00),37.7319548,127.59961
꿈자람물정원,033-240-1722,9:00~18:00,37.8799065,127.71905
꿈자람구장,033-252-1666,9:00~18:00,37.8802266,127.710824
김유정문학마을,033-261-4650,9:00~18:00,37.8182176,127.717942
근화동 행정복지센터,033-250-3615,정시(09:00∼18:00),37.8806948,127.712363
국민체육센터,033-240-1776,5:00~21:00,37.8638431,127.756476
국민생활관,033-252-1666,5:00~21:00,37.8727312,127.728505
구곡폭포 주차장,033-250-1611,상시,37.797037,127.615791
구) 백양리역,033-240-1563,상시,37.8262396,127.613455
교동행정복지센터,033-250-3612,9:00~18:00,37.8806298,127.736165
광판보건진료소,033-263-1576,9:00~18:00,37.7323597,127.70569
공지천인조잔디구장,033-250-3942,9:00~23:00,37.874682,127.711476
공지천 주차장,033-250-1563,상시,37.8750618,127.71273
공지천 에디오피아,033-250-1563,상시,37.8738584,127.712105
공지천 야외 음악당,033-250-1563,상시,37.8745337,127.706167
효자2동행정복지센터,033-250-3620,9:00~18:00,37.8723855,127.736287
고탄보건진료소,033-243-0213,9:00~18:00,37.9875685,127.706735
강촌 주차장,033-250-1563,상시,37.8130345,127.636774
강남동주민센터,033-250-3624,8:30~18:00,37.8679519,127.718935
가정보건진료소,033-263-1955,9:00~18:00,37.7363298,127.574959
KBS만남의광장,033-250-3223,상시,37.8681587,127.72196
88공원,033-250-1563,상시,37.8499584,127.714818
후평3동 우체국,033-256-9914,9:00~18:00,37.8727941,127.752907
황골주유소,033-263-7363,9:00~18:00,37.7301895,127.595932
홈플러스 화장실,033-269-8000,9:00~18:00,37.8506109,127.734719
호원주유소 춘천지점,033-263-8584,9:00~18:00,37.8383499,127.575567
현진주유소,033-254-4437,9:00~18:00,37.875364,127.732521
현대오일뱅크㈜직영 춘천주유소,033-252-6004,9:00~18:00,37.88979,127.752205
현대오일뱅크㈜직영 춘천제일주유소,033-262-5198,9:00~18:00,37.8472666,127.754989
현대오일뱅크㈜직영 위도현대주유소,033-242-3700,9:00~18:00,37.9114567,127.722007
현대오일뱅크㈜직영 고속터미널주유소,033-243-8288,5:00~24:00,37.8648192,127.720007
현대오일뱅크(주)소양강셀프주유소,033-286-8951,5:30~22:00,37.9197216,127.72145
평생학습관,033-250-3539,9:00~18:00,37.8494929,127.743479
춘천강동농협주유소,033-254-0058,9:00~18:00,37.893375,127.756539
춘천LPG충전소,033-252-5803,상시,37.8601005,127.716688
축제극장몸짓,033-251-0531,9:00~18:00,37.8730158,127.727644
청룡뿌리휴게소,033-263-3800,상시,37.8370619,127.580998
지에스칼텍스㈜ 춘천씨티주유소,033-262-2410,6:00~23:00,37.8593497,127.760339
지에스칼텍스(주)푸른강산주유소,033-251-5181,6:00~23:00,37.8666793,127.722264
지에스칼텍스(주)붕붕붕주유소,033-261-4700,9:00~18:00,37.8599157,127.745061
지에스칼텍스(주) 봄내주유소,033-264-7600,6:00~24:00,37.8534016,127.735076
인성병원,033-253-3030,상시,37.8812908,127.726907
이마트 춘천점 화장실,033-240-1234,10:00~09:00,37.8638025,127.718304
의료법인 호반의료재단,033-251-9911,7:00~21:00,37.8569587,127.707318
유정주유소충전소,033-261-0066,9:00~18:00,37.8050886,127.707891
우두주유소,033-252-2464,상시,37.9140414,127.739613
예일주유소,033-263-7756,9:00~18:00,37.7396409,127.708437
영서에너지(주)우리집주유소,033-252-5255,상시,37.8958948,127.748504
쌍둥이주유소,033-241-1411,9:00~18:00,37.9299538,127.763282
신포주유소,033-243-5188,9:00~18:00,38.047287,127.64433
신사우파출소,033-245-0751,상시,37.9008225,127.728418
신북농업협동조합(주유소),033-243-9722,9:00~18:00,37.9258148,127.745576
(주)중부에너지 GS신동주유소,033-261-3351,9:00~18:00,37.8229694,127.694716
신동주유소,033-262-6226,9:00~18:00,37.8230844,127.739535
소양댐주유소,033-242-8251,9:00~18:00,37.9299883,127.774577
섬강에너지주식회사,033-264-5185,6:00~22:00,37.8278769,127.710278
서춘천농협주유소,033-242-9999,상시,37.9216607,127.710722
샘밭장터 화장실,033-250-3601,"여:장날, 남:상시",37.9243875,127.747609
새춘천주유소,033-264-5133,07:00~22:00,37.8607516,127.75949
새만천주유소,033-264-1251,9:00~18:00,37.8822243,127.758925
베스트주유소,033-241-6886,6:00~23:00,37.8786363,127.762083
번개시장공용화장실,033-242-0981,상시,37.8918435,127.726442
백양리역,033-261-7717,4:40~24:20,37.83091,127.589787
만천주유소,033-252-5673,8:00~22:00,37.8761095,127.776537
만남의광장주유소,033-244-5149,5:30~22:30,37.8455304,127.714059
로데오상가,033-261-9333,9:30~21:30,37.8547256,127.749452
동춘천농협클린주유소,033-261-8911,7:00~21:00,37.8377988,127.760459
동양주유소,033-262-5995,9:00~18:00,37.7443841,127.826965
동서주유소,033-243-2017,9:00~18:00,37.8958004,127.690135
동보충전소,033-254-6787,상시,37.8831484,127.748239
대형주유소,033-262-5101,6:00~22:00,37.8469425,127.714448
퇴계주유소,033-242-5189,6:30~20:30,37.8659254,127.724734
태양주유소,033-263-5133,9:00~18:00,37.8560015,127.737113
춘천후평동우체국,033-252-9914,9:00~18:00,37.8822721,127.748628
춘천터미널충전소,033-263-6311,6:00~23:30,37.8478716,127.714264
춘천주유소,033-262-0051,8:00~21:00,37.8638358,127.737725
춘천제일종합시장,033-254-7320,9:00~21:00,37.8775389,127.726098
춘천인형극장,033-242-8452,9:00~18:00,37.9213508,127.720215
춘천원예농협주유소,033-257-4653,7:00~19:00,37.9352321,127.72051
춘천역,033-241-7758,4:30~24:30,37.884658,127.716971
춘천안식원,033-261-7314,7:00~16:00,37.7607217,127.739516
춘천시외버스터미널,033-241-0285,4:00~24:00,37.8638025,127.718304
춘천서부시장,033-242-5004,09:00~22:00,37.8848097,127.724577
춘천사우동우체국,033-255-0100,9:00~18:00,37.9005617,127.728347
춘천문화예술회관,033-259-5818,공연 및 행사시,37.8724458,127.72948
춘천동부시장,033-254-2235,상시,37.8772823,127.734085
춘천농협주유소,033-255-0720,9:00~18:00,37.9040448,127.727449
춘천농수산물도매시장,033-245-5886,상시,37.9100309,127.726803
춘천개인택시가스충전소,033-262-6334,상시,37.8639187,127.70652
조운동 행정복지센터,033-250-3613,평일(09:00~18:00),37.8793777,127.730332
조교보건진료소,033-243-9760,9:00~18:00,37.9239985,127.94932
제일중앙주차장화장실,033-254-7320,9:30~19:30,37.8770944,127.725127
전적기념관,033-240-1563,상시,37.8744576,127.703825
인공암벽장,033-263-7302,상시,37.8563731,127.687518
의암야구장,033-263-1159,9:00~18:00,37.8543943,127.690045
의암빙상장,033-263-7302,9:00~22:00,37.8538067,127.687289
의암공원,033-240-1563,상시,37.8728641,127.708163
의암 스카이워크,033-240-1563,상시,37.8454445,127.679782
원창보건진료소,033-261-3325,9:00~18:00,37.7864007,127.753405
요선상점가 화장실,033-251-0581,정시(09:00~18:02),37.8828526,127.727843
오동보건진료소,033-241-6962,9:00~18:00,37.9455029,127.752191
약사수변공원,033-250-3223,상시,37.8744286,127.727908
약사명동 행정복지센터,033-250-3614,평일(09:00~18:00),37.876647,127.724634
애막골 등산로 입구,033-240-1563,상시,37.868179,127.765873
신사우동 행정복지센터,033-245-3625,평일(09:00~18:00),37.9058712,127.727842
신사우도서관,033-245-5133,정시(09:00~22:00),37.9056358,127.728033
신북체육시설,033-252-1666,9:00~18:00,37.9238715,127.745159
신북읍행정복지센터,033-245-5288,9:00~18:00,37.9257215,127.746087
신매대교 자전거도로,033-240-1563,상시,37.9202865,127.712995
신동면 행정복지센터,033-250-3604,9:00:~18:00,37.8177349,127.715836
시민의숲,033-240-1657,상시,37.9384997,127.801854
송암테니스장,033-264-1660,6:00~22:00,37.8535846,127.692923
소양호 뱃터,033-240-1563,상시,37.9496179,127.814842
소양동 행정복지센터(1층),033-250-3611,정시(09:00~18:00),37.8822135,127.724825
소양도서관,033-245-5145,정시(09:00∼18:00),37.8927261,127.745254
소양댐 주차장(정상),033-240-1563,상시,37.9520063,127.814709
소양강스카이워크(춘천도시공사),033-240-1695,8:30~21:00,37.8857496,127.707786
소양강 스카이워크 주차장,033-240-1695,상시,37.8933678,127.72615
석사동주민센터,033-245-5769,9:00~18:00,37.8586085,127.742332
석사동 산책로,033-240-1563,상시,37.848721,127.755788
서천보건진료소,033-263-4783,9:00~18:00,37.8341059,127.556904
서상보건진료소,033-244-5625,9:00~18:00,37.9305911,127.707339
서면행정복지센터(1층),033-250-3887,9:00~18:00,37.8983609,127.692876
